Exposure Num,AP_LC_Mag,AP_Calibrated_Mag_Error,PSF_LC_Mag,PSF_Mag_Error,AP_Bkg_Mag,PSF_Bkg_Mag,MJD
Exposure0,17.70681122,0.03751476,17.71543043,0.031077797,17.73288122,17.74681287,58594.94675
Exposure1,17.67305506,0.03469522,17.7146497,0.05356243,17.69831764,17.74600925,58597.02011
Exposure2,17.60945131,0.022239265,17.6248057,0.060824144,17.63326061,17.65364135,58598.98688
Exposure3,17.59494648,0.021151534,17.56042627,0.027437976,17.61843637,17.58758086,58600.0159
Exposure4,17.54709989,0.021516791,17.55422639,0.022576653,17.56956654,17.58122443,58603.98077
Exposure5,17.51893531,0.017845074,17.53748515,0.019549008,17.54082083,17.56406499,58608.02114
Exposure6,17.51433007,0.019657001,17.49674365,0.023916896,17.53612202,17.52233295,58613.93076
Exposure7,17.50651412,0.112359273,17.50131685,0.038311221,17.52814818,17.52701545,58620.92441
Exposure8,17.51800933,0.01757592,17.52511614,0.03209847,17.539876,17.55139122,58626.9087
Exposure9,17.60503238,0.016342914,17.60041389,0.020755417,17.62874391,17.62860056,58632.94248
Exposure10,17.79192446,0.019151353,17.78383154,0.02645094,17.82014824,17.81728643,58638.9296
Exposure11,17.95991092,0.044768796,17.9436483,0.036253086,17.99292996,17.98250452,58644.96181
Exposure12,18.12986987,0.04137379,18.14518859,0.036826088,18.16858502,18.19214402,58651.99188
Exposure13,18.23562759,0.020597531,18.1844154,0.028294719,18.27838259,18.23313765,58657.97513
Exposure14,18.39513702,0.071408088,18.44904712,0.043198731,18.44481518,18.51161116,58676.93831
Exposure15,18.75895832,0.043026218,18.79458262,0.048568081,18.82906213,18.8815515,58698.92602
Exposure16,18.83483346,0.124918054,18.8350417,0.047508261,18.91019171,18.92545385,58702.90961
Exposure17,18.981492,0.101141114,19.11256273,0.048545069,19.06819517,19.23078756,58706.90454
Exposure18,19.08906758,0.140780454,19.19582651,0.039781131,19.18521268,19.32405268,58710.91643
Exposure19,19.12619737,0.046726191,19.19475964,0.038127823,19.22584549,19.32285213,58717.87033
Exposure20,19.60450798,0.084681134,19.76276329,0.17647895,19.76352022,19.98857034,58814.26099
